id,name,value,date
1,Item_323,60.04,2025-09-10
2,Item_332,49.01,2025-06-04
3,Item_953,15.52,2025-06-17
4,Item_914,45.23,2025-09-13
5,Item_913,18.78,2025-08-09
6,Item_191,42.99,2025-10-04
7,Item_707,48.05,2025-10-26
8,Item_253,35.67,2025-02-12
9,Item_242,35.3,2025-11-28
10,Item_768,67.79,2025-06-09
11,Item_705,72.27,2026-01-06
12,Item_454,71.75,2025-10-28
13,Item_137,13.63,2025-10-27
14,Item_405,64.42,2025-11-03
15,Item_584,49.47,2025-04-20
16,Item_900,56.33,2026-01-27
17,Item_573,76.53,2025-07-22
18,Item_109,22.99,2025-04-18
19,Item_687,80.54,2025-09-30
20,Item_864,53.52,2026-01-05
